date,TB3MS,T10Y2Y,BAA10Y
2015-11-06,0.12,1.44,3.17
2015-11-09,0.12,1.47,3.15
2015-11-10,0.12,1.45,3.18
2015-11-11,0.12,1.45,3.18
2015-11-12,0.12,1.43,3.19
2015-11-13,0.12,1.42,3.2
2015-11-16,0.12,1.39,3.24
2015-11-17,0.12,1.39,3.23
2015-11-18,0.12,1.37,3.21
2015-11-19,0.12,1.33,3.2
2015-11-20,0.12,1.33,3.2
2015-11-23,0.12,1.31,3.19
2015-11-24,0.12,1.31,3.2
2015-11-25,0.12,1.3,3.21
2015-11-26,0.12,1.3,3.21
2015-11-27,0.12,1.3,3.22
2015-11-30,0.12,1.27,3.2
2015-12-01,0.23,1.24,3.21
2015-12-02,0.23,1.24,3.17
2015-12-03,0.23,1.37,3.18
2015-12-04,0.23,1.32,3.15
2015-12-07,0.23,1.29,3.15
2015-12-08,0.23,1.3,3.19
2015-12-09,0.23,1.29,3.18
2015-12-10,0.23,1.29,3.19
2015-12-11,0.23,1.25,3.24
2015-12-14,0.23,1.26,3.23
2015-12-15,0.23,1.3,3.21
2015-12-16,0.23,1.28,3.21
2015-12-17,0.23,1.24,3.21
2015-12-18,0.23,1.22,3.25
2015-12-21,0.23,1.24,3.27
2015-12-22,0.23,1.25,3.26
2015-12-23,0.23,1.26,3.26
2015-12-24,0.23,1.22,3.22
2015-12-25,0.23,1.22,3.22
2015-12-28,0.23,1.19,3.21
2015-12-29,0.23,1.23,3.22
2015-12-30,0.23,1.23,3.23
2015-12-31,0.23,1.21,3.23
2016-01-01,0.26,1.21,3.23
2016-01-04,0.26,1.22,3.24
2016-01-05,0.26,1.21,3.25
2016-01-06,0.26,1.19,3.26
2016-01-07,0.26,1.2,3.28
2016-01-08,0.26,1.19,3.31
2016-01-11,0.26,1.23,3.3
2016-01-12,0.26,1.19,3.29
2016-01-13,0.26,1.17,3.28
2016-01-14,0.26,1.2,3.36
2016-01-15,0.26,1.18,3.38
2016-01-18,0.26,1.18,3.38
2016-01-19,0.26,1.18,3.35
2016-01-20,0.26,1.16,3.4
2016-01-21,0.26,1.18,3.45
2016-01-22,0.26,1.19,3.42
2016-01-25,0.26,1.15,3.44
2016-01-26,0.26,1.16,3.46
2016-01-27,0.26,1.18,3.46
2016-01-28,0.26,1.17,3.48
2016-01-29,0.26,1.18,3.48
2016-02-01,0.31,1.16,3.49
2016-02-02,0.31,1.12,3.49
2016-02-03,0.31,1.16,3.52
2016-02-04,0.31,1.17,3.53
2016-02-05,0.31,1.12,3.52
2016-02-08,0.31,1.09,3.53
2016-02-09,0.31,1.05,3.54
2016-02-10,0.31,1.0,3.56
2016-02-11,0.31,0.99,3.63
2016-02-12,0.31,1.03,3.6
2016-02-15,0.31,1.03,3.6
2016-02-16,0.31,1.04,3.59
2016-02-17,0.31,1.07,3.62
2016-02-18,0.31,1.04,3.62
2016-02-19,0.31,1.0,3.56
2016-02-22,0.31,0.99,3.57
2016-02-23,0.31,0.98,3.58
2016-02-24,0.31,1.0,3.56
2016-02-25,0.31,0.99,3.56
2016-02-26,0.31,0.96,3.56
2016-02-29,0.31,0.96,3.55
2016-03-01,0.29,0.98,3.54
2016-03-02,0.29,0.99,3.5
2016-03-03,0.29,0.98,3.47
2016-03-04,0.29,1.0,3.43
2016-03-07,0.29,1.0,3.39
2016-03-08,0.29,0.95,3.38
2016-03-09,0.29,1.0,3.36
2016-03-10,0.29,1.0,3.3
2016-03-11,0.29,1.01,3.26
2016-03-14,0.29,1.0,3.22
2016-03-15,0.29,0.99,3.19
2016-03-16,0.29,1.07,3.22
2016-03-17,0.29,1.04,3.2
2016-03-18,0.29,1.04,3.17
2016-03-21,0.29,1.05,3.15
2016-03-22,0.29,1.03,3.1
2016-03-23,0.29,1.01,3.07
2016-03-24,0.29,1.02,3.06
2016-03-25,0.29,1.02,3.06
2016-03-28,0.29,1.0,3.05
2016-03-29,0.29,1.03,3.09
2016-03-30,0.29,1.07,3.11
